log_name,drift_id,change_type,drift_type,complexity,change_point,log_size,noise_level
without_noise__log_21_1692952246.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1096, 1828, 3150, 4136, 5287, 5888]",6924.0,without_noise
without_noise__log_22_1692952248.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'sudden', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1244, 2280, 3281, 4625, 6029, 7290, 8171, 9596, 10320]",11616.0,without_noise
without_noise__log_23_1692952259.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1464, 2335, 3773, 4539, 5637, 6477, 7514, 8662, 9652, 10998, 11610, 12811]",13830.0,without_noise
without_noise__log_24_1692952266.xes.gz,"['drift_1', 'drift_2', 'drift_2', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['sudden', 'gradual', 'gradual', 'sudden']",,"[1144, 2334, 3230, 4730]",6037.0,without_noise
without_noise__log_25_1692952268.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1268, 1983, 3460, 4362, 5712, 6676, 7809, 8764, 10077, 10808]",12035.0,without_noise
without_noise__log_26_1692952272.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual']",,"[1263, 1769, 2996, 3623, 4914, 5584, 6650, 7268, 8328, 9041, 10411, 11880, 12742]",13993.0,without_noise
without_noise__log_27_1692952285.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1464, 2463, 3948, 5054, 5848]",7168.0,without_noise
without_noise__log_28_1692952287.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1456, 2546, 3808, 4591, 5837]",7138.0,without_noise
without_noise__log_29_1692952298.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1213, 1756, 2868, 4306, 5136, 6404, 7812, 9139, 10570, 11620, 12291, 13397]",14473.0,without_noise
without_noise__log_2_1692952163.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1130, 1950]",3069.0,without_noise
without_noise__log_30_1692952304.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1241, 2080]",3365.0,without_noise
without_noise__log_31_1692952304.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden']",,"[1438, 2870, 3391, 4545, 5871]",7173.0,without_noise
without_noise__log_32_1692952308.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1486, 2272, 3660, 4340, 5709, 6587, 7907, 8621, 9625, 10324, 11599]",12715.0,without_noise
without_noise__log_33_1692952312.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1422, 2484, 3325, 4734, 5708, 6899]",8281.0,without_noise
without_noise__log_34_1692952321.xes.gz,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1165, 2205, 2867]",4103.0,without_noise
without_noise__log_35_1692952322.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1452, 2862, 3554, 4954, 6341, 7205, 8282, 8926, 10355, 11253, 12328, 13284]",14533.0,without_noise
without_noise__log_36_1692952355.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1333, 2559, 3693, 4416, 5763, 6390, 7822, 8817, 10269, 11730, 12843, 13947, 14938]",15973.0,without_noise
without_noise__log_37_1692952363.xes.gz,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1282, 2321]",3605.0,without_noise
without_noise__log_38_1692952364.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1028, 1851, 3000, 4010, 4915, 6335, 7206, 8449, 9115]",10333.0,without_noise
without_noise__log_39_1692952369.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring']",,"[1365, 2662, 3350, 4753]",6145.0,without_noise
without_noise__log_3_1692952167.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1035, 1760]",3073.0,without_noise
without_noise__log_40_1692952371.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1129, 1871, 3306, 4382, 5293]",6360.0,without_noise
without_noise__log_41_1692952374.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1249, 1950, 3066, 4209, 5141]",6202.0,without_noise
without_noise__log_42_1692952376.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1465, 2388, 3805, 4827, 5718, 6808, 7871, 8414, 9656, 10599, 11897, 12538]",13916.0,without_noise
without_noise__log_43_1692952382.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1200, 1740, 3030, 4200, 5001]",6048.0,without_noise
without_noise__log_44_1692952384.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'sudden', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1079, 2333, 3288, 4492, 5972, 6979, 7946, 9293, 10347]",11511.0,without_noise
without_noise__log_45_1692952392.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring']",,"[1127, 2438, 2995, 4480]",5623.0,without_noise
without_noise__log_46_1692952395.xes.gz,"['drift_1', 'drift_1', 'drift_1']","['sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental']",,"[1416, 2620, 3913]",5351.0,without_noise
without_noise__log_47_1692952397.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1447, 2257]",3384.0,without_noise
without_noise__log_48_1692952401.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental']",,"[1100, 2192, 3088, 4584]",6036.0,without_noise
without_noise__log_49_1692952403.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1207, 2115, 3260, 3826, 4852, 5704, 6865, 8311, 8890, 10017, 10880]",12303.0,without_noise
without_noise__log_4_1692952168.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1013, 1583]",2781.0,without_noise
without_noise__log_50_1692952409.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1116, 2317, 3370, 4443, 5099, 6419, 7919]",9027.0,without_noise
without_noise__log_51_1692952412.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1211, 2415, 3134, 4190, 5042]",6290.0,without_noise
without_noise__log_52_1692952415.xes.gz,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1490, 2522, 3523]",4711.0,without_noise
without_noise__log_53_1692952417.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1168, 2007]",3493.0,without_noise
without_noise__log_54_1692952418.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1215, 1983, 3203, 4514, 5254, 6354, 7395]",8575.0,without_noise
without_noise__log_55_1692952420.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1163, 1887, 3254, 4677, 5533]",6816.0,without_noise
without_noise__log_56_1692952426.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1162, 2602, 3692, 5083, 5750, 6960, 8196, 9356, 10281]",11366.0,without_noise
without_noise__log_57_1692952430.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1054, 1838, 3064, 3682, 4744]",6085.0,without_noise
without_noise__log_58_1692952437.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1394, 2035]",3502.0,without_noise
without_noise__log_59_1692952438.xes.gz,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1470, 2681]",3999.0,without_noise
without_noise__log_5_1692952170.xes.gz,"['drift_1', 'drift_1', 'drift_1']","['sudden', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental']",,"[1303, 2347, 3538]",4695.0,without_noise
without_noise__log_60_1692952441.xes.gz,"['drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1176, 1816, 2868, 3524, 5017, 6406, 7452, 8819, 10127]",11342.0,without_noise
without_noise__log_61_1692952452.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1461, 2278, 3644, 4850, 6300, 7761, 9161, 9996, 11400, 11926, 13119, 13979, 15446]",16571.0,without_noise
without_noise__log_62_1692952457.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1344, 2257, 3301, 4214, 5614, 6547, 7639, 8311]",9616.0,without_noise
without_noise__log_63_1692952460.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'sudden', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental']",,"[1145, 1912, 2997, 4472]",5747.0,without_noise
without_noise__log_64_1692952462.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring']",,"[1238, 2404, 3563, 4310]",5621.0,without_noise
without_noise__log_65_1692952464.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1326, 2439, 3162, 4414, 5355]",6437.0,without_noise
without_noise__log_66_1692952466.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1333, 1858, 3125, 4597, 5145, 6189, 7122, 8601, 9725, 10332, 11494, 12957, 13775, 14782, 15396]",16467.0,without_noise
without_noise__log_67_1692952494.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['sudden', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1312, 2743, 3889, 5271, 5852, 7181, 7712, 9147]",10536.0,without_noise
without_noise__log_68_1692952500.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'sudden']",,"[1265, 2633, 3914, 4520, 5935]",7110.0,without_noise
without_noise__log_69_1692952502.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'incremental']",,"[1487, 2098, 3497, 4638, 5779, 6664, 7725, 9125, 9901]",11125.0,without_noise
without_noise__log_6_1692952173.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden']","['incremental', 'incremental', 'incremental', 'incremental', 'incremental', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1350, 1920, 3342, 4346, 5008, 6173, 7280, 8196, 9350]",10604.0,without_noise
without_noise__log_70_1692952508.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1422, 2050, 3140, 3964, 5285, 5909]",7257.0,without_noise
without_noise__log_71_1692952512.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2']","['sudden', 'sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['incremental', 'incremental', 'incremental', 'incremental', 'gradual', 'gradual']",,"[1414, 2489, 3724, 4718, 5950, 6652]",7673.0,without_noise
without_noise__log_72_1692952515.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end', 'sudden', 'sudden', 'sudden']","['recurring', 'recurring', 'recurring', 'recurring', 'gradual', 'gradual', 'recurring', 'recurring', 'recurring']",,"[1301, 2400, 3024, 4162, 5434, 6322, 7584, 8880, 10111]",11337.0,without_noise
without_noise__log_73_1692952519.xes.gz,"['drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1', 'drift_1']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['recurring', 'recurring', 'recurring', 'recurring', 'recurring', 'recurring']",,"[1205, 1799, 2891, 3554, 4661, 5644]",6878.0,without_noise
without_noise__log_74_1692952521.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1297, 2133]",3202.0,without_noise
without_noise__log_75_1692952522.xes.gz,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1388, 2031]",3495.0,without_noise
